match_id,series_id,match_details,result,scores,date,venue,round,home,away,winner,win_by_runs,win_by_wickets,balls_remaining,innings1,innings1_runs,innings1_wickets,innings1_overs_batted,innings1_overs,innings2,innings2_runs,innings2_wickets,innings2_overs_batted,innings2_overs,D/L_method,target,year
542710,542416,"South Group:Middlesex v Kent at Uxbridge- Jul 8, 2012",Kent won by 3 wickets (with 6 balls remaining),Middlesex 124/9 (20/20 ov); Kent 125/7 (19/20 ov),2012-07-08,Uxbridge,South Group,Middlesex,Kent,Kent,,3.0,6.0,Middlesex,124.0,9.0,20.0,20.0,Kent,125.0,7.0,19.0,20.0,,,2012
542709,542416,"Midlands/Wales/West Group:Northamptonshire v Gloucestershire at Northampton- Jul 8, 2012",Gloucestershire won by 8 wickets (with 16 balls remaining) (D/L method),"Northamptonshire 31/4 (8.3/8.3 ov); Gloucestershire 23/2 (2.2/5 ov, target: 23)",2012-07-08,Northampton,Midlands/Wales/West Group,Northamptonshire,Gloucestershire,Gloucestershire,,8.0,16.0,Northamptonshire,31.0,4.0,8.3,8.3,Gloucestershire,23.0,2.0,2.2,5.0,1.0,23.0,2012
542708,542416,"North Group:Nottinghamshire v Leicestershire at Nottingham- Jul 8, 2012",Nottinghamshire won by 69 runs,Nottinghamshire 196/3 (20/20 ov); Leicestershire 127/9 (20/20 ov),2012-07-08,Nottingham,North Group,Nottinghamshire,Leicestershire,Nottinghamshire,69.0,,,Nottinghamshire,196.0,3.0,20.0,20.0,Leicestershire,127.0,9.0,20.0,20.0,,,2012
542705,542416,"South Group:Sussex v Surrey at Hove- Jul 8, 2012",Surrey won by 7 wickets (with 2 balls remaining) (D/L method),"Sussex 104/0 (9/9 ov); Surrey 64/3 (4.4/5 ov, target: 62)",2012-07-08,Hove,South Group,Sussex,Surrey,Surrey,,7.0,2.0,Sussex,104.0,0.0,9.0,9.0,Surrey,64.0,3.0,4.4,5.0,1.0,62.0,2012
542707,542416,"Midlands/Wales/West Group:Warwickshire v Glamorgan at Birmingham- Jul 8, 2012",Glamorgan won by 22 runs (D/L method),"Glamorgan 173/5 (20/20 ov); Warwickshire 61/4 (9/9 ov, target: 84)",2012-07-08,Birmingham,Midlands/Wales/West Group,Warwickshire,Glamorgan,Glamorgan,22.0,,,Glamorgan,173.0,5.0,20.0,20.0,Warwickshire,61.0,4.0,9.0,9.0,1.0,84.0,2012
542713,542416,"Midlands/Wales/West Group:Worcestershire v Somerset at Worcester- Jul 8, 2012",Somerset won by 7 wickets (with 7 balls remaining),Worcestershire 119/7 (20/20 ov); Somerset 120/3 (18.5/20 ov),2012-07-08,Worcester,Midlands/Wales/West Group,Worcestershire,Somerset,Somerset,,7.0,7.0,Worcestershire,119.0,7.0,20.0,20.0,Somerset,120.0,3.0,18.5,20.0,,,2012
542706,542416,"North Group:Yorkshire v Derbyshire at Leeds- Jul 8, 2012",Yorkshire won by 21 runs,Yorkshire 180/5 (20/20 ov); Derbyshire 159/9 (20/20 ov),2012-07-08,Leeds,North Group,Yorkshire,Derbyshire,Yorkshire,21.0,,,Yorkshire,180.0,5.0,20.0,20.0,Derbyshire,159.0,9.0,20.0,20.0,,,2012
542715,542416,"Quarter-Final:Somerset v Essex at Taunton- Jul 24, 2012",Somerset won by 27 runs,Somerset 175/6 (20/20 ov); Essex 148 (18.3/20 ov),2012-07-24,Taunton,Quarter-Final,Somerset,Essex,Somerset,27.0,,,Somerset,175.0,6.0,20.0,20.0,Essex,148.0,10.0,18.3,20.0,,,2012
542716,542416,"Quarter-Final:Sussex v Gloucestershire at Hove- Jul 24, 2012",Sussex won by 39 runs,Sussex 230/4 (20/20 ov); Gloucestershire 191/8 (20/20 ov),2012-07-24,Hove,Quarter-Final,Sussex,Gloucestershire,Sussex,39.0,,,Sussex,230.0,4.0,20.0,20.0,Gloucestershire,191.0,8.0,20.0,20.0,,,2012
542717,542416,"Quarter-Final:Yorkshire v Worcestershire at Leeds- Jul 25, 2012",Yorkshire won by 29 runs,Yorkshire 212/5 (20/20 ov); Worcestershire 183/6 (20/20 ov),2012-07-25,Leeds,Quarter-Final,Yorkshire,Worcestershire,Yorkshire,29.0,,,Yorkshire,212.0,5.0,20.0,20.0,Worcestershire,183.0,6.0,20.0,20.0,,,2012
542714,542416,"Quarter-Final:Nottinghamshire v Hampshire at Nottingham- Jul 25, 2012",Hampshire won by 4 wickets (with 0 balls remaining),Nottinghamshire 178/7 (20/20 ov); Hampshire 182/6 (20/20 ov),2012-07-25,Nottingham,Quarter-Final,Nottinghamshire,Hampshire,Hampshire,,4.0,0.0,Nottinghamshire,178.0,7.0,20.0,20.0,Hampshire,182.0,6.0,20.0,20.0,,,2012
